source_section,example_name,normalized_name,job_formula,job_compact_notation,job_add_count,example_type,operator_tokens,notes
"Some examples",Clipper to Clipper,clipper-to-clipper,clip > op clip,clip > op clip,—,base-formula illustration,"clip;op;clip","Simplest non-trivial trick instance demonstrating the grammar's set-catch shape; not a named canonical trick (no dex segment between set and catch)"
"Some examples",Mirage,mirage,toe > op in dex > op toe,toe > op in dex > op toe,—,single-dex,"toe;op;in;dex","Canonical mirage decomposition under Job's grammar; single in-dex on op leg between toe-set and op-toe terminal"
"Some examples",Paradox Dbl Legover,paradox-double-leg-over,clip > same in dex > op out dex > same toe,clip > same in dex > op out dex > same toe,—,two-dex paradox-chain,"clip;same;in;dex;op;out;same;toe","Job names this 'Paradox Double Legover'; modern doctrine resolves the structurally-equivalent trick as 'double-leg-over' with chain reading 'miraging legover' (Red pt4-locked)"
"Some examples",Flurry,flurry,clip > op in dex > same in dex > op out dex > same toe,clip > op in dex > same in dex > op out dex > same toe,—,three-dex chain,"clip;op;in;dex;same;in;dex;op;out;dex;same;toe","Match to canonical 'flurry'; modern chain reading 'barraging legover' (Red pt4-locked)"
"No-plant batch",Pogo Paradox Symposium Blur,pogo-paradox-symposium-blur,"clip > (no plant while) op in dex > op in dex > (no plant while) op in dex > op toe","clip > (no plant while) op in dex > op in dex > (no plant while) op in dex > op toe",—,multi-modifier no-plant compound,"clip;no-plant;op;in;dex;op;toe","Job demonstrates that no-plant chains express pogo+symposium structurally; no modern canonical row under this name; doctrinally subsumed by symposium/pogo/blurry stacking; named here as illustration of grammar's expressiveness, not as a stable canonical"
"Examples",Ripwalk,ripwalk,clip > op in dex > op out dex > op clip,clip > op in dex > op out dex > op clip,—,two-dex butterfly-class,"clip;op;in;dex;op;out;dex;op;clip","Match to canonical 'ripwalk'; modern chain reading 'stepping butterfly'; Job's clip-start/op-clip-end matches modern butterfly shape"
"Examples",Double Over Down,double-over-down,toe > same out dex > same out dex > op clip,toe > same out dex > same out dex > op clip,—,two-dex same-side downward,"toe;same;out;dex;same;out;dex;op;clip","No active canonical 'double-over-down' row; alias 'quantum-double-over-down' → 'plasma'; the base 'double over down' trick referenced by plasma's name is not its own row; doctrinally ambiguous"
"Examples",Eggbeater,eggbeater,toe > op out dex > op out dex > same toe,toe > op out dex > op out dex > same toe,—,two-dex same-end-toe,"toe;op;out;dex;op;out;dex;same;toe","Match to canonical 'eggbeater'; modern chain reading 'atomic legover' (Red pt4-locked); Job's grammar reading and modern chain reading are different framings of the same trick"
"Examples",Symposium Mirage,symposium-mirage,toe > (no plant while) > op in dex > op toe,toe > (no plant while) > op in dex > op toe,—,single-dex no-plant,"toe;no-plant;op;in;dex;op;toe","Match to canonical 'symposium-mirage' (3 ADD; resolved formula symposium(+1) + mirage(2) = 3); Job's (no plant while) maps to symposium operator"
"Examples",Symposium Whirl,symposium-whirl,toe > (no plant while) > op in dex > op clip,toe > (no plant while) > op in dex > op clip,—,single-dex no-plant clip-terminal,"toe;no-plant;op;in;dex;op;clip","Match to canonical 'symposium-whirl' (4 ADD; resolved formula symposium(+1) + whirl(3) = 4); Job's clip-terminal matches whirl-on-clipper resolution"
"Examples",Pdx Blur,paradox-blur,clip > same in dex > op in dex > op toe,clip > same in dex > op in dex > op toe,—,two-dex paradox-chain toe-terminal,"clip;same;in;dex;op;in;dex;op;toe","Likely modern equivalent: canonical 'blur' (4 ADD; notation 'STEPPING PARADOX MIRAGE'); Job's 'Pdx Blur' = 'Paradox Blur'; the same-in/op-in transition encodes the paradox side-change. Naming-doctrine divergence: Job uses 'Paradox' prefix; modern omits it (folk name 'blur' carries the structure)"
"Examples",Barfly,barfly,clip > same out dex > same out dex > op clip,clip > same out dex > same out dex > op clip,—,two-dex same-out-chain clip-terminal,"clip;same;out;dex;same;out;dex;op;clip","Match to canonical 'barfly' (4 ADD; notation 'CLIP >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD]'); near-exact match to Job's reading (DEL + XBD terminal flags absent in Job)"
"Examples",Double Pickup,double-pickup,clip > op in dex > same in dex > same toe,clip > op in dex > same in dex > same toe,—,two-dex pickup-chain,"clip;op;in;dex;same;in;dex;same;toe","No canonical 'double-pickup' row; only 'pickup' exists at 2 ADD. Job uses 'Double Pickup' in 1995; modern dictionary has not stabilized this name. Candidate for Productive Multiplicity audit (per CANONICALIZATION_POLICY.md §10)"
"Examples",Dada Curve,dada-curve,clip > op in dex > (no plant while) op out dex > op clip,clip > op in dex > (no plant while) op out dex > op clip,—,two-dex mixed-plant butterfly-class,"clip;op;in;dex;no-plant;op;out;dex;op;clip","Match to canonical 'dada-curve' (4 ADD; chain reading 'miraging far symposium butterfly'); Job's (no plant while) on the second dex encodes the symposium-far element; reading divergence between Job's grammar form and modern miraging-far chain"
"Examples",Gyro Ripwalk,gyro-ripwalk,clip > (back)spin > same in dex > op out dex > op clip,clip > (back)spin > same in dex > op out dex > op clip,—,spin-modified ripwalk,"clip;back-spin;same;in;dex;op;out;dex;op;clip","No canonical 'gyro-ripwalk' row; structurally implied as gyro(+1) + ripwalk(4) = 5 ADD if multiplier doctrine ratifies; Job's (back)spin corresponds to gyro per his own formula text; spinning/gyro full-vs-half doctrinal divergence (see glossary integration plan §3)"
