trick_slug,external_name,source,our_stated_add,our_computed_add,external_stated_add,external_computed_add,formula_used,operator_tokens,difference_type,severity,recommended_action,red_needed,notes
clipper,,ifpa-internal,1,1,,,clipper(1) [self-atom] = 1,CLIPPER,agree-internal,low,no action,no,exact_self_atom
mirage,,ifpa-internal,2,2,,,mirage(2) = 2,MIRAGE,agree-internal,low,no action,no,exact_modifier_derived
legover,,ifpa-internal,2,2,,,legover(2) = 2,LEGOVER,agree-internal,low,no action,no,exact_modifier_derived
pickup,,ifpa-internal,2,2,,,pickup(2) = 2,PICKUP,agree-internal,low,no action,no,exact_modifier_derived
guay,,ifpa-internal,2,2,,,guay(2) = 2,,agree-internal,low,no action,no,exact_modifier_derived
illusion,,ifpa-internal,2,2,,,illusion(2) = 2,ILLUSION,agree-internal,low,no action,no,exact_modifier_derived
pixie,,ifpa-internal,2,2,,,pixie(2) [self-atom] = 2,PIXIE,agree-internal,low,no action,no,exact_self_atom
fairy,,ifpa-internal,2,2,,,fairy(2) [self-atom] = 2,FAIRY,agree-internal,low,no action,no,exact_self_atom
around-the-world,,ifpa-internal,2,2,,,around-the-world(2) [self-atom] = 2,ATW,agree-internal,low,no action,no,exact_self_atom
reverse-around-the-world,,ifpa-internal,2,2,,,reverse-around-the-world(2) [self-atom] = 2,,agree-internal,low,no action,no,exact_self_atom
double-around-the-world,,ifpa-internal,3,3,,,double-around-the-world(3) [self-atom] = 3,,agree-internal,low,no action,no,exact_self_atom
whirl,,ifpa-internal,3,3,,,whirl(3) = 3,WHIRL,agree-internal,low,no action,no,exact_modifier_derived
butterfly,,ifpa-internal,3,3,,,butterfly(3) = 3,BUTTERFLY,agree-internal,low,no action,no,exact_modifier_derived
swirl,,ifpa-internal,3,3,,,swirl(3) = 3,SWIRL,agree-internal,low,no action,no,exact_modifier_derived
osis,,ifpa-internal,3,3,,,osis(3) = 3,OSIS,agree-internal,low,no action,no,exact_modifier_derived
eclipse,,ifpa-internal,3,3,,,eclipse(3) = 3,ECLIPSE,unresolved-tokens,medium,defer; needs operator definition for: eclipse,yes,exact_modifier_derived [unresolved: eclipse]
eggbeater,,ifpa-internal,3,3,,,eggbeater(3) = 3,,agree-internal,low,no action,no,exact_modifier_derived
double-leg-over,,ifpa-internal,3,3,,,double-leg-over(3) [self-atom] = 3,DOUBLE|LEGOVER,agree-internal,low,no action,no,exact_self_atom
drifter,,ifpa-internal,3,3,,,drifter(3) = 3,DRIFTER,agree-internal,low,no action,no,exact_modifier_derived
barfly,,ifpa-internal,4,4,,,barfly(4) = 4,BARFLY,unresolved-tokens,medium,defer; needs operator definition for: barfly,yes,exact_modifier_derived [unresolved: barfly]
smear,,ifpa-internal,3,3,,,smear(3) = 3,PIXIE|MIRAGE,agree-internal,low,no action,no,exact_modifier_derived
flurry,,ifpa-internal,4,4,,,flurry(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
dimwalk,,ifpa-internal,4,4,,,dimwalk(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
parkwalk,,ifpa-internal,4,4,,,parkwalk(4) = 4,,agree-internal,low,no action,no,exact_modifier_derived
torque,,ifpa-internal,4,4,,,torque(4) = 4,TORQUE,agree-internal,low,no action,no,exact_modifier_derived
ripwalk,,ifpa-internal,4,4,,,ripwalk(4) = 4,BLURRY|BUTTERFLY,agree-internal,low,no action,no,exact_modifier_derived
blur,,ifpa-internal,4,4,,,blur(4) = 4,STEPPING|PARADOX|MIRAGE,agree-internal,low,no action,no,exact_modifier_derived
atom-smasher,,ifpa-internal,4,4,,,atom-smasher(4) [self-atom] = 4,,agree-internal,low,no action,no,exact_self_atom
blender,,ifpa-internal,4,4,,,blender(4) = 4,BLENDER,agree-internal,low,no action,no,exact_modifier_derived
ducking-clipper,,ifpa-internal,3,3,,,ducking-clipper(3) [self-atom] = 3,,agree-internal,low,no action,no,exact_self_atom
